referrerId,kpi,referralCount,uniqueWallets,gasUsage,stage,sqrtOnlyReward,baseReward,stageBonus,rewardAmount,uniqueWalletsForStageCalculation,gasUsageForStageCalculation,totalTransactions
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,682001625,3052,3052,682001625,1,1502051708052683887500,1126538781039512915625,781250000000000000000,1907788781039512915625,3052,682001625,10951
0x358643badcc77cccb28a319abd439438a57339a7,8228585,4,4,8228585,0,0,0,0,0,4,8228585,25
0x4ea48e01f1314db0925653e30617b254d1cf5366,8329880867,204,204,8329880867,1,0,0,0,0,204,8329880867,25837
0x2298947e6c1d6c282c258b3e5f8989670a8e346f,594824010,5,5,594824010,0,0,0,0,0,5,594824010,2646
0xb82896c4f251ed65186b416dbdb6f6192dfaf926,173365920,48,48,173365920,0,0,0,0,0,48,173365920,806
0xda404bfda2a5dcda88fd2aa9b9e0c32a677bc8eb,1334878894,29,29,1334878894,0,0,0,0,0,29,1334878894,15419
0xa1f70ffa4322e3609dd905b41f17bf3913366bc1,102708370,3,3,102708370,0,0,0,0,0,3,102708370,173
0x2c2bc76b97bce84a5a9c6e2835ab13306b964cf1,27224973779,33163,33163,27224973779,3,9490211993130391453000,7117658994847793589750,2343750000000000000000,9461408994847793589750,33163,27224973779,320118
0x5e23d5be257d9140d4c5b12654111a4d4e18d9b2,45622464,10,10,45622464,0,0,0,0,0,10,45622464,192
0x6b3bc1b55b28380193733a2fd27f2639d92f14be,665469,1,1,665469,0,0,0,0,0,1,665469,8
0x37b5a29b9532940414bbc59c616696daba16169c,6846020900,8082,8082,6846020900,2,0,0,0,0,8082,6846020900,31687
0xe70ffe8d559207261a17834c58786bfd53cd8642,6207766560,3484,3484,6207766560,2,0,0,0,0,3484,6207766560,28734
0xba7a463cf9f68046311616bb4c787923828f0644,498873694,4195,4195,498873694,0,0,0,0,0,4195,498873694,19962
0xe86e5053ab3d18f533d4bfbee79409c218e70b2e,101291343,17,17,101291343,0,0,0,0,0,17,101291343,510
0x49e59f6267401e05b482b0020a1a65d63e782ea4,340404488,240,240,340404488,0,0,0,0,0,240,340404488,2442
0xc00da57cde8dcb4ed4a8141784b5b4a5cbf62551,2736633,1,1,2736633,0,0,0,0,0,1,2736633,63
0x22886c71a4c1fa2824bd86210ead1c310b3d7cf5,31967249,24,24,31967249,0,0,0,0,0,24,31967249,156
0xa2c408956988672d64562a23bb0ed1d247a03b98,23545810,2,2,23545810,0,0,0,0,0,2,23545810,327
0xa1599790b763e537bd15b5b912012e5fb65491a3,8564036,7,7,8564036,0,0,0,0,0,7,8564036,39
0x03909bb1e9799336d4a8c49b74343c2a85fdad9d,591619693,267,267,591619693,1,1398986390480687843750,1049239792860515882812,781250000000000000000,1830489792860515882812,267,591619693,6495
0x66582d24fead72555adac681cc621cacbb208324,23283592051,10095,10095,23283592051,2,8776415373291779871000,6582311529968834903250,1562500000000000000000,8144811529968834903250,10095,23283592051,97983
0xe38a456433fff7814e40998cf0cbbbd2c885b513,22470280,1,1,22470280,0,0,0,0,0,1,22470280,18
0x21d654daab0fe1be0e584980ca7c1a382850939f,39857675,3,3,39857675,0,0,0,0,0,3,39857675,164
0x9b5f6df2c7a331697cf2616ca884594f6afdc07d,11185511,6,6,11185511,0,0,0,0,0,6,11185511,7
0x91090d6c03c9f2d05db069b1729ba45f1925517b,4439585948,7614,7614,4439585948,1,3832334535044456945000,2874250901283342708750,781250000000000000000,3655500901283342708750,7614,4439585948,62137
0x55a5705453ee82c742274154136fce8149597058,109596,2,2,109596,0,0,0,0,0,2,109596,2
0x10265305e8b7ce057d70875f0fd44f2ee48456cb,6327657430,100,100,6327657430,1,0,0,0,0,100,6327657430,754
0x637365c8697c63186dc4759bd0f10af9b32d3c1a,62429895,11,11,62429895,0,0,0,0,0,11,62429895,133
0xd7c271d20c9e323336bfc843aeb8dec23b346352,631949142,2,2,631949142,0,0,0,0,0,2,631949142,574
0xd59b83de618561c8ff4e98fc29a1b96abcbfb18a,2190592084,199,199,2190592084,1,0,0,0,0,199,2190592084,300
0x124d8fad33e0b9fe9f3e1e90d0fc0055abe8ca8d,4378992,4,4,4378992,0,0,0,0,0,4,4378992,16
0x3207d4728c32391405c7122e59ccb115a4af31ea,869707167,96,96,869707167,0,0,0,0,0,96,869707167,96
