referrerId,rewardAmount,kpi,linearProportion,powerProportion,linearReward,powerReward
0x4ea48e01f1314db0925653e30617b254d1cf5366,113583783566194561763,53626996,0.00098257,0.01878645,19651509989222171800.00000000,93932273576972389963.54528460
0xdd304336cf878df7d2647435d5f57c2345b140c1,8699583350009435892,442986,0.00000811,0.00170745,162331371387753600.00000000,8537251978621682292.54960427
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,697736482962396073338,871004146,0.01595889,0.07571173,319177801340446647200.00000000,378558681621949426138.26367561
0x99342d3ce2d10c34b7d20d960ea75bd742aec468,241939660259023603742,184620032,0.00338268,0.03485720,67653657181515761600.00000000,174286003077507842142.79938449
0xe38a456433fff7814e40998cf0cbbbd2c885b513,52767800238202871759,13829085,0.00025338,0.00954003,5067641715737769400.00000000,47700158522465102359.96829550
0x2c2bc76b97bce84a5a9c6e2835ab13306b964cf1,1925706297204163195685,3257312559,0.05968179,0.14641406,1193635949535702782400.00000000,732070347668460413285.93046630
0x181313c4aab54fd818c727665c090dd4021d6429,9949202707973810352,576359,0.00001056,0.00194759,211205651830248000.00000000,9737997056143562352.40058877
0x80dadebda19e5c010c4417985a4c05d0a8008a81,54046746618677067699,14446261,0.00026469,0.00975058,5293804679054010000.00000000,48752941939623057699.41161207
0x66582d24fead72555adac681cc621cacbb208324,21093240284699570835426,49753634355,0.91160620,0.57222325,18232124031847503233400.00000000,2861116252852067602026.74942958
0x4821ced48fb4456055c86e42587f61c1f39c6315,200367875079422651519,137031707,0.00251075,0.03003057,50215006616269645400.00000000,150152868463153006119.42630736
0xd59b83de618561c8ff4e98fc29a1b96abcbfb18a,258084341903493460895,204151545,0.00374054,0.03665467,74810942717780420400.00000000,183273399185713040495.32016285
0x3e6e1f37249bb22d8543fdb0728716632eac24ac,44783297224498057593,10233529,0.00018750,0.00820664,3750057104979268000.00000000,41033240119518789593.35197609
0x60b979de2c961ac884e6a5d921cdbfa0f454eaa4,85814412471474842707,33024590,0.00060508,0.01474252,12101797763853240000.00000000,73712614707621602707.47705847
0x6b3bc1b55b28380193733a2fd27f2639d92f14be,10764958058436225646,672457,0.00001232,0.00210370,246420579903867400.00000000,10518537478532358246.29250429
0x7320f31d71a5294f04f7eeeb101418feed3d3119,53208301340676800187,14040403,0.00025725,0.00961264,5145078792166634600.00000000,48063222548510165587.35549029
0x5e23d5be257d9140d4c5b12654111a4d4e18d9b2,52390803256840095522,13649282,0.00025008,0.00947781,5001753250708102000.00000000,47389050006131993522.18999877
0x809c9f8dd8ca93a41c3adca4972fa234c28f7714,19262201874160420850,2080148,0.00003811,0.00369998,762266251144489200.00000000,18499935623015931650.01287539
0x124d8fad33e0b9fe9f3e1e90d0fc0055abe8ca8d,45385281377819990191,10488721,0.00019217,0.00830834,3843571724690011800.00000000,41541709653129978391.65806937
0x62bb362d63f14449398b79ebc46574f859a6045d,12004588873003668960,831964,0.00001524,0.00233994,304871614600102400.00000000,11699717258403566560.05654831
0x20f50b8832f87104853df3fdda47dd464f885a49,20264096933961330315,2293095,0.00004201,0.00388475,840300271503841400.00000000,19423796662457488915.24066750
