referrerId,kpi,referralCount,rewardAmount
0x4ea48e01f1314db0925653e30617b254d1cf5366,5145196387,51,9816000000000000000000
0xdd304336cf878df7d2647435d5f57c2345b140c1,0,1,0
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,1299520970,11825,4933000000000000000000
0x99342d3ce2d10c34b7d20d960ea75bd742aec468,1329756458,115,4990000000000000000000
0xe38a456433fff7814e40998cf0cbbbd2c885b513,4832710,3,300000000000000000000
0x2c2bc76b97bce84a5a9c6e2835ab13306b964cf1,132552946744,19570,49827000000000000000000
0x181313c4aab54fd818c727665c090dd4021d6429,618512,1,107000000000000000000
0x80dadebda19e5c010c4417985a4c05d0a8008a81,96368,65,42000000000000000000
0x66582d24fead72555adac681cc621cacbb208324,173444693251,37674,56997000000000000000000
0x4821ced48fb4456055c86e42587f61c1f39c6315,78951212,4,1216000000000000000000
0xd59b83de618561c8ff4e98fc29a1b96abcbfb18a,44739814483,252,28948000000000000000000
0x3e6e1f37249bb22d8543fdb0728716632eac24ac,35692574,16,817000000000000000000
0x60b979de2c961ac884e6a5d921cdbfa0f454eaa4,14733093,7,525000000000000000000
0x6b3bc1b55b28380193733a2fd27f2639d92f14be,2828233,1,230000000000000000000
0x7320f31d71a5294f04f7eeeb101418feed3d3119,4659747,4,295000000000000000000
0x5e23d5be257d9140d4c5b12654111a4d4e18d9b2,31159255,4,763000000000000000000
0x809c9f8dd8ca93a41c3adca4972fa234c28f7714,40068356,11,866000000000000000000
0x124d8fad33e0b9fe9f3e1e90d0fc0055abe8ca8d,14079385,5,513000000000000000000
0x62bb362d63f14449398b79ebc46574f859a6045d,23707877,158,666000000000000000000
0x20f50b8832f87104853df3fdda47dd464f885a49,171271,2,56000000000000000000
0x53eaf4cd171842d8144e45211308e5d90b4b0088,76596250,54,1197000000000000000000
0xc5337cee97ff5b190f26c4a12341dd210f26e17c,1681343122,1209,5611000000000000000000
0xa353557ddfc96325a8ab18e6f6d9c1fc0d7c1ea6,623452,1,108000000000000000000
0xe6d39bb0a25ff3a1918adc57796656173918afe5,98033459,25,1355000000000000000000
0xc49b8e093600f684b69ed6ba1e36b7dfad42f982,3650682,1,261000000000000000000
0x3207d4728c32391405c7122e59ccb115a4af31ea,1265904606,26,4869000000000000000000
0xaf108dd1ac530f1c4bded13f43e336a9cec92b44,919628,23,131000000000000000000
0xb82896c4f251ed65186b416dbdb6f6192dfaf926,99844745,237,1367000000000000000000
0x55a5705453ee82c742274154136fce8149597058,16500678,3,555000000000000000000
0x22886c71a4c1fa2824bd86210ead1c310b3d7cf5,6961663,8,361000000000000000000
0xe86e5053ab3d18f533d4bfbee79409c218e70b2e,27093257,7,712000000000000000000
0x49e59f6267401e05b482b0020a1a65d63e782ea4,619113898,197,3405000000000000000000
0x174e017bcf9265a3a6f89f3f9c7554f1812bff6c,248734106,2,2158000000000000000000
0xc00da57cde8dcb4ed4a8141784b5b4a5cbf62551,23896158,7,669000000000000000000
0xa1599790b763e537bd15b5b912012e5fb65491a3,15488080,8,538000000000000000000
0x309bf15d1849d573f4ee9491ae740da94ffec3bb,271286008,1,2254000000000000000000
0x159eda19ce75221e7da70edc865e9b487eeb6822,225017664,2,2052000000000000000000
0xa1f70ffa4322e3609dd905b41f17bf3913366bc1,3527446,3,257000000000000000000
0xb522133dbd9c8b424429d89d821aeb2a115db678,7711263,7,380000000000000000000
0xbdeb0877ea15abd145e12d7c74c04a5a5f924879,807111,6,122000000000000000000
0x9b5f6df2c7a331697cf2616ca884594f6afdc07d,5314307,3,315000000000000000000
0xda404bfda2a5dcda88fd2aa9b9e0c32a677bc8eb,96589375,4,1345000000000000000000
0x0e9b25255462c0912b2a268b078045002f980ccd,94855840,1,1332000000000000000000
0x4575605d7af6b4b4df7a6a53ce8a97c309fa2ea5,113244652,1,1456000000000000000000
0x2802fc092c3510c8d5e14d3770e055c011827d41,59925660,1,1059000000000000000000
0x9c11931e683045b120777a1ac7f4ead9aeed978f,111080588,1,1442000000000000000000
0xd7c271d20c9e323336bfc843aeb8dec23b346352,24305328,4,674000000000000000000
0x131ec028bb8bd936a3416635777d905497f3d21f,4084175,6,276000000000000000000
0x22db5ade0850a5342729d519f4a4b556bcbbc572,59245540,8,1053000000000000000000
0xfb7e31f9a59fa2722e1bc0d2d83449b113ee7a24,30461125,8,755000000000000000000
