referrerId,rewardAmount,referralCount,kpi,linearProportion,powerProportion,linearReward,powerReward,totalTransactions
0x4ea48e01f1314db0925653e30617b254d1cf5366,2279484182893070552450,51,5145196387,0.01413299,0.04908487,70664963826055850150.00000000,2208819219067014702300.00000000,6655
0xdd304336cf878df7d2647435d5f57c2345b140c1,0,1,0,0.00000000,0.00000000,0.00000000,0.00000000,0
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,1127919045395963018750,11825,1299520970,0.00356956,0.02466824,17847832313703871400.00000000,1110071213082259147350.00000000,25472
0x99342d3ce2d10c34b7d20d960ea75bd742aec468,1141173864821149079700,115,1329756458,0.00365261,0.02495357,18263091422409909150.00000000,1122910773398739170550.00000000,1192
0xe38a456433fff7814e40998cf0cbbbd2c885b513,67761056699465445700,3,4832710,0.00001327,0.00150432,66373224974399500.00000000,67694683474491046200.00000000,12
0x2c2bc76b97bce84a5a9c6e2835ab13306b964cf1,13031749874861826803450,19570,132552946744,0.36410074,0.24913880,1820503724671893186800.00000000,11211246150189933616650.00000000,571002
0x181313c4aab54fd818c727665c090dd4021d6429,24226215066920380200,1,618512,0.00000169,0.00053817,8494744382627100.00000000,24217720322537753100.00000000,2
0x80dadebda19e5c010c4417985a4c05d0a8008a81,9560613102195568050,65,96368,0.00000026,0.00021242,1323533782149750.00000000,9559289568413418300.00000000,2
0x66582d24fead72555adac681cc621cacbb208324,15206595794787314299750,37674,173444693251,0.47642352,0.28498840,2382117620499539593450.00000000,12824478174287774706300.00000000,741702
0x4821ced48fb4456055c86e42587f61c1f39c6315,274698505188412618150,4,78951212,0.00021686,0.00608031,1084328783659170100.00000000,273614176404753448050.00000000,250
0xd59b83de618561c8ff4e98fc29a1b96abcbfb18a,7127841902250701499450,252,44739814483,0.12289277,0.14474173,614463887134352179500.00000000,6513378015116349319950.00000000,185977
0x3e6e1f37249bb22d8543fdb0728716632eac24ac,184460682230640979400,16,35692574,0.00009804,0.00408823,490207615192594100.00000000,183970474615448385300.00000000,142
0x60b979de2c961ac884e6a5d921cdbfa0f454eaa4,118399266652971154700,7,14733093,0.00004046,0.00262659,202346694971920550.00000000,118196919957999234150.00000000,143
0x6b3bc1b55b28380193733a2fd27f2639d92f14be,51825370480099566700,1,2828233,0.00000776,0.00115081,38843411913609700.00000000,51786527068185957000.00000000,36
0x7320f31d71a5294f04f7eeeb101418feed3d3119,66536245249329944500,4,4659747,0.00001279,0.00147716,63997723007336050.00000000,66472247526322608450.00000000,21
0x5e23d5be257d9140d4c5b12654111a4d4e18d9b2,172318783605453211100,4,31159255,0.00008558,0.00381979,427946274895386200.00000000,171890837330557824900.00000000,97
0x809c9f8dd8ca93a41c3adca4972fa234c28f7714,195471900264413587750,11,40068356,0.00011006,0.00433159,550305316715120350.00000000,194921594947698467400.00000000,171
0x124d8fad33e0b9fe9f3e1e90d0fc0055abe8ca8d,115738336631127015200,5,14079385,0.00003867,0.00256766,193368563002163450.00000000,115544968068124851750.00000000,67
0x62bb362d63f14449398b79ebc46574f859a6045d,150261472030086459900,158,23707877,0.00006512,0.00333190,325607837794196400.00000000,149935864192292263500.00000000,132
0x20f50b8832f87104853df3fdda47dd464f885a49,12746215767292932200,2,171271,0.00000047,0.00028319,2352263763931700.00000000,12743863503529000500.00000000,4
0x53eaf4cd171842d8144e45211308e5d90b4b0088,270554578583873686250,54,76596250,0.00021039,0.00598894,1051985352616926350.00000000,269502593231256759900.00000000,313
0xc5337cee97ff5b190f26c4a12341dd210f26e17c,1285754595096379891700,1209,1681343122,0.00461836,0.02805917,23091839836378593050.00000000,1262662755260001298650.00000000,18920
0xa353557ddfc96325a8ab18e6f6d9c1fc0d7c1ea6,24322802955354400150,1,623452,0.00000171,0.00054031,8562591145907650.00000000,24314240364208492500.00000000,5
0xe6d39bb0a25ff3a1918adc57796656173918afe5,306238638135966404350,25,98033459,0.00026928,0.00677538,1346407466871707050.00000000,304892230669094697300.00000000,313
0xc49b8e093600f684b69ed6ba1e36b7dfad42f982,58886553266257543200,1,3650682,0.00001002,0.00130747,50139060215901750.00000000,58836414206041641450.00000000,128
0x3207d4728c32391405c7122e59ccb115a4af31ea,1113005466152520179650,26,1265904606,0.00347722,0.02434709,17386139704258383550.00000000,1095619326448261796100.00000000,48915
0xaf108dd1ac530f1c4bded13f43e336a9cec92b44,29542755459775825700,23,919628,0.00000252,0.00065622,12630320490316400.00000000,29530125139285509300.00000000,11
0xb82896c4f251ed65186b416dbdb6f6192dfaf926,309067248551554865400,237,99844745,0.00027425,0.00683768,1371283963324210950.00000000,307695964588230654450.00000000,951
0x55a5705453ee82c742274154136fce8149597058,125313021702266065850,3,16500678,0.00004532,0.00277969,226622994784318550.00000000,125086398707481747300.00000000,21
0x22886c71a4c1fa2824bd86210ead1c310b3d7cf5,81344176351739529100,8,6961663,0.00001912,0.00180552,95612611659907750.00000000,81248563740079621350.00000000,37
0xe86e5053ab3d18f533d4bfbee79409c218e70b2e,160655966923856814650,7,27093257,0.00007442,0.00356186,372103197202030250.00000000,160283863726654784400.00000000,138
0x49e59f6267401e05b482b0020a1a65d63e782ea4,774707110084836447000,197,619113898,0.00170060,0.01702675,8503010947632159150.00000000,766204099137204287850.00000000,3233
0x174e017bcf9265a3a6f89f3f9c7554f1812bff6c,489070036049556412400,2,248734106,0.00068323,0.01079230,3416154657809826650.00000000,485653881391746585750.00000000,7509
0xc00da57cde8dcb4ed4a8141784b5b4a5cbf62551,150858253823457608000,7,23896158,0.00006563,0.00334511,328193719664079950.00000000,150530060103793528050.00000000,182
0xa1599790b763e537bd15b5b912012e5fb65491a3,121400260359800048600,8,15488080,0.00004254,0.00269305,212715809196392300.00000000,121187544550603656300.00000000,63
0x309bf15d1849d573f4ee9491ae740da94ffec3bb,510918466782069745800,1,271286008,0.00074517,0.01127094,3725886146983935900.00000000,507192580635085809900.00000000,4885
0x159eda19ce75221e7da70edc865e9b487eeb6822,465011209691515169650,2,225017664,0.00061808,0.01026490,3090429186912897850.00000000,461920780504602271800.00000000,7521
0xa1f70ffa4322e3609dd905b41f17bf3913366bc1,57883265617184021850,3,3527446,0.00000968,0.00128521,48446516952816450.00000000,57834819100231205400.00000000,52
0xb522133dbd9c8b424429d89d821aeb2a115db678,85616901221549489100,7,7711263,0.00002118,0.00190024,105907739950413450.00000000,85510993481599075650.00000000,27
0xbdeb0877ea15abd145e12d7c74c04a5a5f924879,27675776240582779050,6,807111,0.00000221,0.00061477,11084993716219800.00000000,27664691246866559250.00000000,9
0x9b5f6df2c7a331697cf2616ca884594f6afdc07d,71060590936179820600,3,5314307,0.00001459,0.00157750,72987556483634650.00000000,70987603379696185950.00000000,4
0xda404bfda2a5dcda88fd2aa9b9e0c32a677bc8eb,303964862803637574650,4,96589375,0.00026531,0.00672529,1326574182396965000.00000000,302638288621240609650.00000000,3923
0x0e9b25255462c0912b2a268b078045002f980ccd,301212962200229086300,1,94855840,0.00026055,0.00666467,1302765530821348900.00000000,299910196669407737400.00000000,3170
0x4575605d7af6b4b4df7a6a53ce8a97c309fa2ea5,329248985152966035850,1,113244652,0.00031106,0.00728208,1555320464986224700.00000000,327693664687979811150.00000000,3785
0x2802fc092c3510c8d5e14d3770e055c011827d41,239200719028412456650,1,59925660,0.00016460,0.00529728,823028758795659550.00000000,238377690269616797100.00000000,2003
0x9c11931e683045b120777a1ac7f4ead9aeed978f,326073107358602871400,1,111080588,0.00030511,0.00721216,1525598858117408050.00000000,324547508500485463350.00000000,3713
0xd7c271d20c9e323336bfc843aeb8dec23b346352,152147154179041862300,4,24305328,0.00006676,0.00337362,333813326978149100.00000000,151813340852063713200.00000000,52
0x131ec028bb8bd936a3416635777d905497f3d21f,62287749862040926600,6,4084175,0.00001121,0.00138292,56092723567070650.00000000,62231657138473855950.00000000,18
0x22db5ade0850a5342729d519f4a4b556bcbbc572,237834796760587709400,8,59245540,0.00016273,0.00526713,813687880123115850.00000000,237021108880464593550.00000000,1006
0xfb7e31f9a59fa2722e1bc0d2d83449b113ee7a24,170372660689770612100,8,30461125,0.00008367,0.00377676,418358043954283300.00000000,169954302645816328800.00000000,1237
