referrerId,kpi,rewardAmount,baseKpi,celoKpi,polygonKpi
0x3e6e1f37249bb22d8543fdb0728716632eac24ac,87,464641790213517791337,0,87,0
0x6b3bc1b55b28380193733a2fd27f2639d92f14be,4,99629657499477090227,0,4,0
0x5e23d5be257d9140d4c5b12654111a4d4e18d9b2,19,217137804409894916172,0,19,0
0x124d8fad33e0b9fe9f3e1e90d0fc0055abe8ca8d,5,111389343371926246055,0,5,0
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,105961,16215549332273673921434,95246,9713,1002
0x60b979de2c961ac884e6a5d921cdbfa0f454eaa4,0,0,0,0,0
0x53eaf4cd171842d8144e45211308e5d90b4b0088,50,352244032125867102103,8,42,0
0xc5337cee97ff5b190f26c4a12341dd210f26e17c,12153,5491618894860084774248,9763,2346,44
0xd59b83de618561c8ff4e98fc29a1b96abcbfb18a,39584,9911022923728456013979,0,39584,0
0xa353557ddfc96325a8ab18e6f6d9c1fc0d7c1ea6,5,111389343371926246055,0,5,0
0xe6d39bb0a25ff3a1918adc57796656173918afe5,60,385864004283823647496,7,53,0
0xc49b8e093600f684b69ed6ba1e36b7dfad42f982,23,238903526046420863068,0,23,0
0x3207d4728c32391405c7122e59ccb115a4af31ea,681,1299966610437396869027,0,681,0
0x000cbf0bec88214aab15bc1fa40d3c30b3ca97a9,332,907669377161881705675,329,3,0
0xaf108dd1ac530f1c4bded13f43e336a9cec92b44,39,311093505832676195420,37,2,0
0x2c2bc76b97bce84a5a9c6e2835ab13306b964cf1,14653,6030063929578088941075,222,14423,8
0x99342d3ce2d10c34b7d20d960ea75bd742aec468,159,628141090022901372786,71,88,0
0x55a5705453ee82c742274154136fce8149597058,40,315056640200823439075,26,9,5
0x4ea48e01f1314db0925653e30617b254d1cf5366,38,307079227900389837103,0,38,0
0x22886c71a4c1fa2824bd86210ead1c310b3d7cf5,1,49814828749738544896,0,1,0
