referrerId,kpi,referralCount,rewardAmount,baseKpi,celoKpi,polygonKpi
0x3e6e1f37249bb22d8543fdb0728716632eac24ac,67,19,193769610652317640717,1,66,0
0x6b3bc1b55b28380193733a2fd27f2639d92f14be,12,1,82004727216143873979,2,10,0
0x5e23d5be257d9140d4c5b12654111a4d4e18d9b2,3,4,41002363608071936772,1,2,0
0x124d8fad33e0b9fe9f3e1e90d0fc0055abe8ca8d,19,5,103187018898571243468,1,18,0
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,97127,7810,7377653472837926070848,92712,3330,1085
0x60b979de2c961ac884e6a5d921cdbfa0f454eaa4,103,8,240251925839801070662,7,96,0
0x53eaf4cd171842d8144e45211308e5d90b4b0088,256,65,378763610664499966427,5,251,0
0xc5337cee97ff5b190f26c4a12341dd210f26e17c,29507,1331,4066406525401435527393,23775,5713,19
0xd59b83de618561c8ff4e98fc29a1b96abcbfb18a,32028,34,4236558182981160687434,24,32004,0
0xa353557ddfc96325a8ab18e6f6d9c1fc0d7c1ea6,0,1,0,0,0,0
0xe6d39bb0a25ff3a1918adc57796656173918afe5,201,26,335618810612653697813,2,187,12
0xc49b8e093600f684b69ed6ba1e36b7dfad42f982,9,1,71018176999593743813,0,9,0
0x3207d4728c32391405c7122e59ccb115a4af31ea,2963,26,1288588024797171780041,0,2963,0
0x000cbf0bec88214aab15bc1fa40d3c30b3ca97a9,1927,88,1039176034803751031937,1927,0,0
0xaf108dd1ac530f1c4bded13f43e336a9cec92b44,342,23,437785444761624962751,342,0,0
0x2c2bc76b97bce84a5a9c6e2835ab13306b964cf1,72252,15627,6363165249761056157979,2336,69592,324
0x99342d3ce2d10c34b7d20d960ea75bd742aec468,45,47,158801471409203665386,16,29,0
0x55a5705453ee82c742274154136fce8149597058,99,4,235540646402700279537,88,10,1
0x4ea48e01f1314db0925653e30617b254d1cf5366,6408,44,1895001319950486365172,0,6408,0
0x22886c71a4c1fa2824bd86210ead1c310b3d7cf5,9,8,71018176999593743813,0,9,0
0xe86e5053ab3d18f533d4bfbee79409c218e70b2e,139,9,279097319455267747531,16,122,1
0xb82896c4f251ed65186b416dbdb6f6192dfaf926,1485,138,912245000872588099572,1367,114,4
0x49e59f6267401e05b482b0020a1a65d63e782ea4,8463,214,2177762101402799420503,6909,1301,253
0xa9fd03e154e1b3cbe88f1b515e7ebdab2d640b60,714,18,632553657411569301558,711,3,0
0xc863dfee737c803c93af4b6b27029294f6a56eb5,319,30,422808399885844620682,286,14,19
0x174e017bcf9265a3a6f89f3f9c7554f1812bff6c,1123,2,793301258767586687565,0,1123,0
0xc00da57cde8dcb4ed4a8141784b5b4a5cbf62551,63,9,187896434906092299703,2,61,0
0x309bf15d1849d573f4ee9491ae740da94ffec3bb,1078,1,777244478809923361613,0,1078,0
0x159eda19ce75221e7da70edc865e9b487eeb6822,3681,2,1436253744613869045682,0,3681,0
0xa1f70ffa4322e3609dd905b41f17bf3913366bc1,27,3,123007090824215810751,0,27,0
0xbdeb0877ea15abd145e12d7c74c04a5a5f924879,4,6,47345451333062495586,3,1,0
0x9b5f6df2c7a331697cf2616ca884594f6afdc07d,3,3,41002363608071936772,0,3,0
0xda404bfda2a5dcda88fd2aa9b9e0c32a677bc8eb,2080,4,1079642402003701600882,0,2080,0
0x0e9b25255462c0912b2a268b078045002f980ccd,1238,1,832930159327758389172,0,1238,0
0x4575605d7af6b4b4df7a6a53ce8a97c309fa2ea5,2476,1,1177941127830898835793,0,2476,0
0x2802fc092c3510c8d5e14d3770e055c011827d41,1014,1,753819283150548741000,0,1014,0
0x9c11931e683045b120777a1ac7f4ead9aeed978f,2476,1,1177941127830898835793,0,2476,0
0xd7c271d20c9e323336bfc843aeb8dec23b346352,38,4,145928481587208320772,0,38,0
0x131ec028bb8bd936a3416635777d905497f3d21f,19,7,103187018898571243468,1,18,0
0x22db5ade0850a5342729d519f4a4b556bcbbc572,1006,8,750839748631986317089,0,1006,0
0xfb7e31f9a59fa2722e1bc0d2d83449b113ee7a24,1237,8,832593689849546078275,0,1237,0
0x266ca9f02e8395d7cc746cb6ec986c2e06c75a28,16,1,94690902666124991606,12,4,0
0x809c9f8dd8ca93a41c3adca4972fa234c28f7714,5,2,52933823803067888606,0,5,0
